"Plant_Community","Sampling_Frame","Decimal_Latitude","Decimal_Longitude","GeodeticDatum","Date","Species_Code","Scientific_Name","Vernacular_Name","Life_Form"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANDVIR","Andropogon virginicus","broomsedge","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANDVIR","Andropogon virginicus","broomsedge","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"SETPAL","Setaria palmifolia","palmgrass","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"SETPAL","Setaria palmifolia","palmgrass","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANDVIR","Andropogon virginicus","broomsedge","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBARG","Rubus argutus","prickly Florida blackberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"SETPAR","Setaria parviflora","foxtail","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANEHUP","Anemone hupehensis var. japonica","Japanese anemone","Herb"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANEHUP","Anemone hupehensis var. japonica","Japanese anemone","Herb"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANDVIR","Andropogon virginicus","broomsedge","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANDVIR","Andropogon virginicus","broomsedge","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANEHUP","Anemone hupehensis var. japonica","Japanese anemone","Herb"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"EHRSTI","Ehrharta stipoides","meadow ricegrass","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"PERCAP","Persicaria capitata","Persicaria capitata","Herb"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANDVIR","Andropogon virginicus","broomsedge","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"ANDVIR","Andropogon virginicus","broomsedge","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"EHRSTI","Ehrharta stipoides","meadow ricegrass","Grass"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"ANDGLO1","Andropogon glomeratus var. pumilus","bushy bluestem","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"ANDGLO1","Andropogon glomeratus var. pumilus","bushy bluestem","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"ANDVIR","Andropogon virginicus","broomsedge","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PHYGRO1","Phymatosorus grossus","naturalized laua‘e","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"ANDGLO1","Andropogon glomeratus var. pumilus","bushy bluestem","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PHYGRO1","Phymatosorus grossus","naturalized laua‘e","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PLUCAR","Pluchea carolinensis","sourbush","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"ANDGLO1","Andropogon glomeratus var. pumilus","bushy bluestem","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PLUCAR","Pluchea carolinensis","sourbush","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PSICAT","Psidium cattleianum","strawberry guava","Tree"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"TIBHER","Tibouchina herbacea","cane tibouchina","Shrub"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASEDU","Passiflora edulis","passionfruit","Vine"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"PASCON","Paspalum conjugatum","Hilo grass","Grass"
"Wet Forest","Nahuku / East Rift",19.351519,-155.143429,"EPSG: 4326",2010-10-20,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
