"samplingProtocol","year","custom_cycle","custom_unitCode","custom_plantCommunity","custom_samplingFrame","custom_transectType","custom_transectNumber","decimalLatitude","decimalLongitude","geodeticDatum","Date","recordedBy","eventRemarks","custom_segment","occurrenceRemarks","custom_coverClass","custom_dead","custom_cf","identificationQualifier","custom_speciesCode","scientificName","vernacularName","custom_lifeForm","establishmentMeans","custom_certified","custom_certifiedBy","custom_certifiedDate","eventID","locationID"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"0 - 20",NA,"2",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"220 - 240",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"240 - 260",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"260 - 280",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"280 - 300",NA,"1",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"300 - 320",NA,"1",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"320 - 340",NA,"2",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"340 - 360",NA,"2",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"360 - 380",NA,"3",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"380 - 400",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"400 - 420",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"420 - 440",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"440 - 460",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"460 - 480",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"480 - 500",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"500 - 520",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"520 - 540",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"540 - 560",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"560 - 580",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"580 - 600",NA,"2",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"600 - 620",NA,NA,0,0,NA,NA,NA,NA,NA,NA,1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"620 - 640",NA,"2",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"640 - 660",NA,"2",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"660 - 680",NA,"1",0,0,NA,"NEPBRO","Nephrolepis brownii","sword fern","Fern","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"660 - 680",NA,"3",0,0,NA,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"660 - 680",NA,"1",0,0,NA,"ANDVIR","Andropogon virginicus","broomsedge","Grass","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"660 - 680",NA,"4",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"680 - 700",NA,"1",0,0,NA,"NEPBRO","Nephrolepis brownii","sword fern","Fern","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"680 - 700",NA,"5",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"680 - 700",NA,"2",0,0,NA,"ANDVIR","Andropogon virginicus","broomsedge","Grass","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"680 - 700",NA,"5",0,0,NA,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"700 - 720",NA,"2",0,0,NA,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"700 - 720",NA,"5",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"700 - 720",NA,"2",0,0,NA,"SETPAL","Setaria palmifolia","palmgrass","Grass","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"700 - 720",NA,"2",0,0,NA,"NEPBRO","Nephrolepis brownii","sword fern","Fern","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"720 - 740",NA,"2",0,0,NA,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"720 - 740",NA,"5",0,0,NA,"SETPAL","Setaria palmifolia","palmgrass","Grass","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"720 - 740",NA,"4",0,0,NA,"NEPBRO","Nephrolepis brownii","sword fern","Fern","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"720 - 740",NA,"5",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"740 - 760",NA,"2",0,0,NA,"NEPBRO","Nephrolepis brownii","sword fern","Fern","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"740 - 760",NA,"3",0,0,NA,"ANDVIR","Andropogon virginicus","broomsedge","Grass","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"740 - 760",NA,"1",0,0,NA,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"740 - 760",NA,"1",0,0,NA,"RUBARG","Rubus argutus","prickly Florida blackberry","Shrub","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"740 - 760",NA,"1",0,0,NA,"SETPAR","Setaria parviflora","foxtail","Grass","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"740 - 760",NA,"1",0,0,NA,"ANEHUP","Anemone hupehensis var. japonica","Japanese anemone","Herb","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"740 - 760",NA,"4",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"760 - 780",NA,"4",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"760 - 780",NA,"2",0,0,NA,"NEPBRO","Nephrolepis brownii","sword fern","Fern","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"760 - 780",NA,"1",0,0,NA,"ANEHUP","Anemone hupehensis var. japonica","Japanese anemone","Herb","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"760 - 780",NA,"2",0,0,NA,"ANDVIR","Andropogon virginicus","broomsedge","Grass","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"760 - 780",NA,"4",0,0,NA,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"780 - 800",NA,"4",0,0,NA,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"780 - 800",NA,"2",0,0,NA,"ANDVIR","Andropogon virginicus","broomsedge","Grass","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"780 - 800",NA,"1",0,0,NA,"ANEHUP","Anemone hupehensis var. japonica","Japanese anemone","Herb","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
"Established Invasive Plant Species",2010,1,"HAVO","Wet Forest","Nahuku / East Rift","Fixed","1",19.386043,-155.229628,"EPSG: 4326","2010-11-15","Adam Mehlhorn | Bret Callaway | Daemerson Awong",NA,"780 - 800",NA,"4",0,0,NA,"MORFAY","Morella faya","fire tree","Tree","Non-Native",1,"Alison Ainsworth","2012-09-18","20110104121500-709037899.971008","20110104121020-533424019.813538"
